;IDTombe;POINT_X;POINT_Y
629;649;30.44534831;19.61323111
630;650;30.44531332;19.61322198
631;651;30.44546258;19.61320597
632;652;30.44466306;19.6141976
633;653;30.44467057;19.61432046
634;654;30.44469723;19.61428566
635;655;30.44468828;19.6143031
636;656;30.4447145;19.61431214
637;657;30.44473231;19.61428602
638;658;30.44466017;19.61447823
639;659;30.44467753;19.61449595
640;660;30.44468666;19.61446096
641;661;30.44473069;19.61444387
642;662;30.44465177;19.61444306
643;663;30.44465213;19.61440798
644;664;30.44460648;19.61458292
645;665;30.44464165;19.61457451
646;666;30.44459807;19.61454775
647;667;30.44472943;19.61456664
648;668;30.4447033;19.61454883
649;669;30.44463333;19.61453057
650;670;30.44468747;19.61438203
651;671;30.44458008;19.61459142
652;672;30.44458026;19.61457388
653;673;30.44452764;19.61457334
654;674;30.44454527;19.61456475
655;675;30.44456317;19.61452985
656;676;30.44452809;19.61452949
657;677;30.44447475;19.61459911
658;678;30.44449283;19.61454667
659;679;30.44447538;19.61453772
660;680;30.44442205;19.61460734
661;681;30.44440469;19.61458962
662;682;30.44444058;19.61451105
663;683;30.44448451;19.61450273
664;684;30.44449364;19.61446775
665;685;30.44450268;19.61444153
666;686;30.44448541;19.61441504
667;687;30.4444676;19.61444117
668;688;30.44444103;19.61446721
669;689;30.44443244;19.61444958
670;690;30.44445034;19.61441468
671;691;30.44446805;19.61439732
672;692;30.4443603;19.61464179
673;693;30.44433444;19.61459767
674;694;30.44438733;19.6145719
675;695;30.44435234;19.61456277
676;696;30.44436997;19.61455418
677;697;30.44436165;19.61451024
678;698;30.44439682;19.61450183
679;699;30.44457239;19.6144861
680;700;30.44472988;19.61452279
681;701;30.44435324;19.61447508
682;702;30.44444175;19.61439705
683;703;30.44489265;19.61319135
684;704;30.44524025;19.61265115
685;705;30.44524911;19.61264247
686;706;30.44521403;19.61264211
687;707;30.4452143;19.6126158
688;708;30.44523211;19.61258967
689;709;30.44486679;19.61314723
690;710;30.44488433;19.61314741
691;711;30.44489337;19.61312119
692;712;30.44487592;19.61311224
693;713;30.44491019;19.61319153
694;714;30.44524061;19.61261607
695;715;30.44484889;19.61318213
696;716;30.44483162;19.61315564
697;717;30.44491914;19.61317408
698;718;30.44494536;19.61318312
699;719;30.44484084;19.61311188
700;720;30.44491109;19.61310383
701;721;30.44494626;19.61309542
702;722;30.44497239;19.61311323
703;723;30.44498098;19.61313086
704;724;30.44498098;19.61313086
705;725;30.44498062;19.61316594
706;726;30.44500684;19.61317498
707;727;30.44498026;19.61320102
708;728;30.44503332;19.61315771
709;729;30.44501587;19.61314876
710;730;30.44503386;19.61310509
711;731;30.44501641;19.61309614
712;732;30.44505122;19.61312281
713;733;30.44506894;19.61310545
714;734;30.44507744;19.61313185
715;735;30.44505972;19.61314921
716;736;30.44505954;19.61316675
717;737;30.44505059;19.6131842
718;738;30.44483198;19.61312056
719;739;30.44484102;19.61309434
720;740;30.44509462;19.61316711
721;741;30.44508612;19.61314071
722;742;30.44486751;19.61307707
723;743;30.44491127;19.61308629
724;744;30.4449025;19.6130862
725;745;30.44507789;19.613088
726;746;30.44491941;19.61314777
727;747;30.44495458;19.61313936
728;748;30.44431609;19.61467642
729;749;30.44498143;19.61308701
730;750;30.44488514;19.61306848
731;751;;
