FID;FID_;Entity;Layer;Color;Linetype;Elevation;LineWt;RefName;Angle;IDTombe;Inventaire;Secteur;Coordonnee;Coordonn_1;Campagne;Datation;Anciennes_;POINT_X;POINT_Y
195;0;Point;Tombb;198;Continuous;0;25; ;0;208;482;1;1078;-272;2011-2012;3;272;30.44404805;19.61515604
196;0;Point;Tombb;198;Continuous;0;25; ;0;209;483;1;1078;-274;2011-2012;3;274;30.44403051;19.61515586
197;0;Point;Tombb;198;Continuous;0;25; ;0;210;484;1;1072;-256;2011-2012;3;256;30.4441889;19.61510486
198;0;Point;Tombb;198;Continuous;0;25; ;0;211;485;1;1076;-257;2011-2012;3;257;30.44417977;19.61513985
199;0;Point;Tombb;198;Continuous;0;25; ;0;212;486;1;1076;-254;2011-2012;3;254;30.44420608;19.61514012
200;0;Point;Tombb;198;Continuous;0;25; ;0;213;487;1;1072;-260;2011-2012;3;260;30.44415383;19.6151045
201;0;Point;Tombb;198;Continuous;0;25; ;0;214;488;1;1072;-258;2011-2012;3;258;30.44417136;19.61510468
202;0;Point;Tombb;198;Continuous;0;25; ;0;215;489;1;1074;-255;2011-2012;3;255;30.44419749;19.61512249
203;0;Point;Tombb;198;Continuous;0;25; ;0;216;490;1;1071;-258;2011-2012;3;258;30.44417145;19.61509591
204;0;Point;Tombb;198;Continuous;0;25; ;0;217;491;1;1060;-258;2011-2012;3;258;30.44417245;19.61499945
205;0;Point;Tombb;198;Continuous;0;25; ;0;218;492;1;1081;-268;2011-2012;3;268;30.44408286;19.61518271
206;0;Point;Tombb;198;Continuous;0;25; ;0;221;493;26;1005;-211;2012-2013;10;211;30.44458957;19.61452135
207;0;Point;Tombb;198;Continuous;0;25; ;0;222;494;26;1002;-206;2012-2013;6;206;30.44463369;19.6144955
208;0;Point;Tombb;198;Continuous;0;25; ;0;223;495;26;998;-207;2012-2013;6;207;30.44462528;19.61446033
209;0;Point;Tombb;198;Continuous;0;25; ;0;224;496;26;995;-206;2012-2013;6;206;30.44463432;19.61443411
210;0;Point;Tombb;198;Continuous;0;25; ;0;225;497;26;1002;-209;2012-2013;6;209;30.44460738;19.61449523
211;0;Point;Tombb;198;Continuous;0;25; ;0;226;498;26;1000;-211;2012-2013;6;211;30.44459002;19.61447751
212;0;Point;Tombb;198;Continuous;0;25; ;0;227;499;26;1003;-213;2012-2013;6;213;30.44457221;19.61450363
213;0;Point;Tombb;198;Continuous;0;25; ;0;228;500;26;1004;-218;2012-2013;6;218;30.44452827;19.61451195
214;0;Point;Tombb;198;Continuous;0;25; ;0;229;501;26;1001;-215;2012-2013;6;215;30.44455485;19.61448592
215;0;Point;Tombb;198;Continuous;0;25; ;0;230;502;26;995;-214;2012-2013;6;214;30.44456416;19.61443339
216;0;Point;Tombb;198;Continuous;0;25; ;0;231;503;26;994;-216;2012-2013;6;216;30.44454671;19.61442444
217;0;Point;Tombb;198;Continuous;0;25; ;0;232;504;26;1002;-219;2012-2013;6;219;30.44451968;19.61449432
218;0;Point;Tombb;198;Continuous;0;25; ;0;233;505;26;1000;-219;2012-2013;6;219;30.44451986;19.61447679
